exp_id,num_clients,distribution,dist_label,dirichlet_alpha,aggregator,regularization,optimizer,div_group,final_global_val,best_global_val,final_local_train,final_local_val,mean_grad_div,final_grad_div,baseline_final_val,fl_vs_baseline,total_min,clients
c32_dirichlet0.1_fedadam_fedprox_adam,32,dirichlet,dirichlet α=0.1,0.1,fedadam,fedprox,adam,"adam(w), fedprox",5.15526704788208,5.15526704788208,5.226478199064731,5.1313610419631,0.5491990618407726,0.6627333797514439,4.1890819549560545,0.9661850929260254,58.181398912270865,32 clients
c32_dirichlet0.1_fedadam_fedprox_adamw,32,dirichlet,dirichlet α=0.1,0.1,fedadam,fedprox,adamw,"adam(w), fedprox",5.150415015220642,5.150415015220642,5.224239827096462,5.126216572523117,0.5492720716167241,0.6617998471483588,4.180579710006714,0.9698353052139286,56.36406614780426,32 clients
c32_dirichlet0.1_fedadam_fedprox_sgd,32,dirichlet,dirichlet α=0.1,0.1,fedadam,fedprox,sgd,"sgd, fedprox",5.452037620544433,5.452037620544433,5.398981991112233,5.372782777249813,0.47072995561175046,0.6032429030165076,5.393619537353516,0.05841808319091779,59.20707613627116,32 clients
c32_dirichlet0.1_fedadam_none_adam,32,dirichlet,dirichlet α=0.1,0.1,fedadam,none,adam,"adam(w), none",5.988773608207703,5.988773608207703,5.882630490958691,5.803240916132927,0.41478465171530843,0.45928316563367844,4.189389371871949,1.7993842363357544,41.56291937430699,32 clients
c32_dirichlet0.1_fedadam_none_adamw,32,dirichlet,dirichlet α=0.1,0.1,fedadam,none,adamw,"adam(w), none",5.9987904071807865,5.9987904071807865,5.8905535367131225,5.810409960895777,0.40210945922881364,0.4481377489864826,4.1843037605285645,1.814486646652222,14.561386052767435,32 clients
c32_dirichlet0.1_fedadam_none_sgd,32,dirichlet,dirichlet α=0.1,0.1,fedadam,none,sgd,"sgd, none",5.432641458511353,5.432641458511353,5.3708101922273634,5.3515676110982895,0.47110139918513594,0.6060289507731795,5.392201852798462,0.040439605712890625,45.09482458035151,32 clients
c32_dirichlet0.1_fedavg_fedprox_adam,32,dirichlet,dirichlet α=0.1,0.1,fedavg,fedprox,adam,"adam(w), fedprox",5.834551858901977,5.834551858901977,5.881293695867061,5.692586183547974,0.5268580503296107,0.6218820093199611,4.1897319793701175,1.6448198795318598,18.290325705210368,32 clients
c32_dirichlet0.1_fedavg_fedprox_adamw,32,dirichlet,dirichlet α=0.1,0.1,fedavg,fedprox,adamw,"adam(w), fedprox",5.834266924858094,5.834266924858094,5.884416688978671,5.694428605586291,0.5281174008268863,0.624813069589436,4.180303478240967,1.6539634466171265,18.56138199965159,32 clients
c32_dirichlet0.1_fedavg_fedprox_sgd,32,dirichlet,dirichlet α=0.1,0.1,fedavg,fedprox,sgd,"sgd, fedprox",6.014527702331543,6.014527702331543,5.991194245219231,5.943756335973739,0.5557469188468531,0.6475032400339842,5.391649150848389,0.6228785514831543,18.024790100256602,32 clients
c32_dirichlet0.1_fedavg_none_adam,32,dirichlet,dirichlet α=0.1,0.1,fedavg,none,adam,"adam(w), none",5.3752450227737425,5.3752450227737425,5.346840807199478,5.259029425680637,0.5003669623285532,0.6033710232004523,4.189517831802368,1.1857271909713747,14.10643039147059,32 clients
c32_dirichlet0.1_fedavg_none_adamw,32,dirichlet,dirichlet α=0.1,0.1,fedavg,none,adamw,"adam(w), none",5.37699830532074,5.37699830532074,5.348734341859817,5.260357366502285,0.47702944856137036,0.570642969571054,4.182284355163574,1.1947139501571655,14.286487460136414,32 clients
c32_dirichlet0.1_fedavg_none_sgd,32,dirichlet,dirichlet α=0.1,0.1,fedavg,none,sgd,"sgd, none",5.966578578948974,5.966578578948974,5.940097255408764,5.902928302437067,0.556685582571663,0.6487415889278054,5.3907434940338135,0.5758350849151608,13.513907738526662,32 clients
c32_dirichlet0.5_fedadam_fedprox_adam,32,dirichlet,dirichlet α=0.5,0.5,fedadam,fedprox,adam,"adam(w), fedprox",5.16313488483429,5.16313488483429,5.248691934645176,5.1409305527806275,0.5027320271823555,0.6408325470983982,4.190676975250244,0.9724579095840458,18.627653551101684,32 clients
c32_dirichlet0.5_fedadam_fedprox_adamw,32,dirichlet,dirichlet α=0.5,0.5,fedadam,fedprox,adamw,"adam(w), fedprox",5.159117937088013,5.159117937088013,5.248912883400916,5.138644186407328,0.5033134121913463,0.641131890937686,4.183799695968628,0.9753182411193846,19.983083705107372,32 clients
c32_dirichlet0.5_fedadam_fedprox_sgd,32,dirichlet,dirichlet α=0.5,0.5,fedadam,fedprox,sgd,"sgd, fedprox",5.451034140586853,5.451034140586853,5.439182735085488,5.402371472865343,0.3967197369784117,0.5618042154237628,5.395206356048584,0.055827784538268865,18.139301562309264,32 clients
